review_body,review_title,asin,pp_date,review_rating,review_date,text_clean,title_clean,ml_score,text,ml_topic,review,opinion
"works well with nespresso machine. good flavor coffee, not too strong.",,PLID58243680,20 October 2020,4,2020-10-20,works we will with nespresso machine good flavor coffee not too strong,,1,works we will with nespresso machine good flavor coffee not too strong ,['taste'],"works well with nespresso machine. good flavor coffee, not too strong. ",['good flavor coffee']
good variety of coffees at a good price.,,PLID58243680,19 October 2020,5,2020-10-19,good variety of coffees at good price,,1,good variety of coffees at good price ,[],good variety of coffees at a good price. ,"['good variety', 'good price']"
great value.,,PLID58243680,16 October 2020,5,2020-10-16,great value,,1,great value ,[],great value. ,['great value']
love this coffee.. nice and strong,,PLID44858548,14 January 2020,4,2020-01-14,love this coffee nice and strong,,1,love this coffee nice and strong ,[],love this coffee.. nice and strong ,[]
amazing coffee,,PLID44858548,27 December 2019,5,2019-12-27,amazing coffee,,1,amazing coffee ,[],amazing coffee ,['amazing coffee']
these are great and deserves more than 3 stars!,,PLID44858548,25 October 2019,5,2019-10-25,these are great and deserves more than stars,,1,these are great and deserves more than stars ,[],these are great and deserves more than 3 stars! ,[]
great tasting coffee,,PLID44858548,25 October 2019,4,2019-10-25,great tasting coffee,,1,great tasting coffee ,[],great tasting coffee ,['great tasting coffee']
best price i could find,,PLID44858548,15 October 2019,4,2019-10-15,best price could find,,1,best price could find ,[],best price i could find ,[]
excellent,,PLID44858548,15 October 2019,5,2019-10-15,excellent,,1,excellent ,[],excellent ,[]
tried many coffee pods. this remains the best of them all,,PLID44858548,13 October 2019,5,2019-10-13,tried many coffee pods this remains the best of them all,,1,tried many coffee pods this remains the best of them all ,[],tried many coffee pods. this remains the best of them all ,[]
"i am truly happy that takealot stocks this coffee ... it is great tasting and just to my liking !! 
love it ",,PLID44858548,15 September 2019,5,2019-09-15,am truly happy that takealot stocks this coffee it is great tasting and just to my liking love it,,1,am truly happy that takealot stocks this coffee it is great tasting and just to my liking love it ,[],"i am truly happy that takealot stocks this coffee ... it is great tasting and just to my liking !! 
love it  ",[]
"i assumed when ordering this that pods would be compatible with nespresso machines  - and nothing indicated that this is not the case
bad and misleading marketing! it should state that it is only usable in certain coffee machines (i still don't know which ones but am saddled with pods that i cannot use ",,PLID44858548,1 November 2018,1,2018-11-01,assumed when ordering this that pods would be compatible with nespresso machines and nothing indicated that this is not the case bad and misleading marketing it should state that it is only usable in certain coffee machines still don know which ones but am saddled with pods that cannot use,,-1,assumed when ordering this that pods would be compatible with nespresso machines and nothing indicated that this is not the case bad and misleading marketing it should state that it is only usable in certain coffee machines still don know which ones but am saddled with pods that cannot use ,['taste'],"i assumed when ordering this that pods would be compatible with nespresso machines  - and nothing indicated that this is not the case
bad and misleading marketing! it should state that it is only usable in certain coffee machines (i still don't know which ones but am saddled with pods that i cannot use  ",[]
"the coffee is good, pity the packaging is from sub-standard plastic. when using a second / third capsule, right after each other, the machine's hot capsule holder, is too hot for the plastic and causes issues.",,PLID41141718,16 November 2020,3,2020-11-16,the coffee is good pity the packaging is from sub standard plastic when using second third capsule right after each other the machine hot capsule holder is too hot for the plastic and causes issues,,1,the coffee is good pity the packaging is from sub standard plastic when using second third capsule right after each other the machine hot capsule holder is too hot for the plastic and causes issues ,"['delivery', 'taste']","the coffee is good, pity the packaging is from sub-standard plastic. when using a second / third capsule, right after each other, the machine's hot capsule holder, is too hot for the plastic and causes issues. ",[]
i like the different flavors.,,PLID41141718,3 November 2020,4,2020-11-03,like the different flavors,,1,like the different flavors ,[],i like the different flavors. ,[]
love these pods.  a good alternative to nespresso pods that work well on our nespresso machine.  ,,PLID41141718,30 October 2020,5,2020-10-30,love these pods good alternative to nespresso pods that work we will on our nespresso machine,,1,love these pods good alternative to nespresso pods that work we will on our nespresso machine ,['taste'],love these pods.  a good alternative to nespresso pods that work well on our nespresso machine.   ,['good alternative']
the coffe beans are amazing,,PLID41141718,27 October 2020,4,2020-10-27,the coffe beans are amazing,,1,the coffe beans are amazing ,['taste'],the coffe beans are amazing ,[]
good quality pods,,PLID41141718,27 October 2020,4,2020-10-27,good quality pods,,1,good quality pods ,[],good quality pods ,['good quality pod']
meh. they're okay. the lungo one is the worst though. i would still prefer proper nespresso capsules,,PLID41141718,16 October 2020,3,2020-10-16,meh they re okay the lungo one is the worst though would still prefer proper nespresso capsules,,1,meh they re okay the lungo one is the worst though would still prefer proper nespresso capsules ,[],meh. they're okay. the lungo one is the worst though. i would still prefer proper nespresso capsules ,['proper nespresso capsule']
really enjoyable,,PLID41141718,5 October 2020,4,2020-10-05,really enjoyable,,1,really enjoyable ,[],really enjoyable ,[]
very happy with the product and the service,,PLID41141718,28 September 2020,5,2020-09-28,very happy with the product and the service,,1,very happy with the product and the service ,[],very happy with the product and the service ,[]
"good coffee, great value. and this coming from someone who drinks a ton of coffee. if you are looking for a capsule to enjoy 2/3 times a day, this should be your choice. cheers.  ",,PLID41141718,14 September 2020,5,2020-09-14,good coffee great value and this coming from someone who drinks ton of coffee if you are looking for capsule to enjoy times day this should be your choice cheers,,1,good coffee great value and this coming from someone who drinks ton of coffee if you are looking for capsule to enjoy times day this should be your choice cheers ,['delivery'],"good coffee, great value. and this coming from someone who drinks a ton of coffee. if you are looking for a capsule to enjoy 2/3 times a day, this should be your choice. cheers.   ","['good coffee', 'great value']"
really good but the lungo tastes like cigarette stumps smell,,PLID41141718,10 September 2020,4,2020-09-10,really good but the lungo tastes like cigarette stumps smell,,1,really good but the lungo tastes like cigarette stumps smell ,"['delivery', 'price']",really good but the lungo tastes like cigarette stumps smell ,[]
love the taste!! great way to begin a morning!,,PLID41141718,2 September 2020,5,2020-09-02,love the taste great way to begin morning,,1,love the taste great way to begin morning ,[],love the taste!! great way to begin a morning! ,['great way']
its not the real thing but it still is great coffee ! ,,PLID41141718,24 August 2020,5,2020-08-24,it is not the real thing but it still is great coffee,,1,it is not the real thing but it still is great coffee ,[],its not the real thing but it still is great coffee !  ,['great coffee']
works well with my nespresso and the coffee is very nice,,PLID41141718,19 August 2020,5,2020-08-19,works we will with my nespresso and the coffee is very nice,,1,works we will with my nespresso and the coffee is very nice ,[],works well with my nespresso and the coffee is very nice ,[]
"great coffee, good value for money!",,PLID41141718,16 August 2020,4,2020-08-16,great coffee good value for money,,1,great coffee good value for money ,[],"great coffee, good value for money! ","['great coffee', 'good value']"
great product and even better taste,,PLID41141718,9 August 2020,5,2020-08-09,great product and even better taste,,1,great product and even better taste ,['taste'],great product and even better taste ,"['even well taste', 'great product']"
excellent product wonderful taste. value for money.,,PLID41141718,5 August 2020,5,2020-08-05,excellent product wonderful taste value for money,,1,excellent product wonderful taste value for money ,[],excellent product wonderful taste. value for money. ,['excellent product wonderful taste']
happy with my purchase,,PLID41141718,3 August 2020,5,2020-08-03,happy with my purchase,,1,happy with my purchase ,[],happy with my purchase ,[]
great value for money,,PLID41141718,28 July 2020,4,2020-07-28,great value for money,,1,great value for money ,[],great value for money ,['great value']
great value for money and really appreciate the variety of flavours.,,PLID41141718,27 July 2020,4,2020-07-27,great value for money and really appreciate the variety of flavours,,1,great value for money and really appreciate the variety of flavours ,[],great value for money and really appreciate the variety of flavours. ,['great value']
best coffee! been buying these capsules for years now and i have never been disappointed,,PLID48563870,29 October 2020,5,2020-10-29,best coffee been buying these capsules for years now and have never been disappointed,,1,best coffee been buying these capsules for years now and have never been disappointed ,['packaging'],best coffee! been buying these capsules for years now and i have never been disappointed ,['good coffee']
one of my favourite non-nespresso pods! like the flavour - re-ordering this monthly.,,PLID48563870,26 October 2020,5,2020-10-26,one of my favourite non nespresso pods like the flavour re ordering this monthly,,1,one of my favourite non nespresso pods like the flavour re ordering this monthly ,[],one of my favourite non-nespresso pods! like the flavour - re-ordering this monthly. ,[]
"love these coffee pods, delicious taste",,PLID48563870,3 October 2020,5,2020-10-03,love these coffee pods delicious taste,,1,love these coffee pods delicious taste ,[],"love these coffee pods, delicious taste ",[]
great coffee,,PLID48563870,1 October 2020,4,2020-10-01,great coffee,,1,great coffee ,[],great coffee ,['great coffee']
"i am usually a fan of all bootlegger coffee company's products. however, when i reordered this capsule sleeve and used the same setting (lungo) on my nespresso machine, the coffee had a milder taste than before. still good though.",,PLID48563870,21 September 2020,4,2020-09-21,am usually fan of all bootlegger coffee company products however when reordered this capsule sleeve and used the same setting lungo on my nespresso machine the coffee had milder taste than before still good though,,1,am usually fan of all bootlegger coffee company products however when reordered this capsule sleeve and used the same setting lungo on my nespresso machine the coffee had milder taste than before still good though ,"['delivery', 'taste']","i am usually a fan of all bootlegger coffee company's products. however, when i reordered this capsule sleeve and used the same setting (lungo) on my nespresso machine, the coffee had a milder taste than before. still good though. ",[]
"tried this based on the mostly great reviews but i have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of nespresso blends. even the nespresso starbucks blend has more to offer. pods do work well in the machine though, so no issues there.",,PLID48563870,14 September 2020,2,2020-09-14,tried this based on the mostly great reviews but have to agree with another previous comment regarding the blandness of this coffee nowhere near the rich flavour of nespresso blends even the nespresso starbucks blend has more to offer pods do work we will in the machine though so no issues there,,1,tried this based on the mostly great reviews but have to agree with another previous comment regarding the blandness of this coffee nowhere near the rich flavour of nespresso blends even the nespresso starbucks blend has more to offer pods do work we will in the machine though so no issues there ,"['allergens', 'taste']","tried this based on the mostly great reviews but i have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of nespresso blends. even the nespresso starbucks blend has more to offer. pods do work well in the machine though, so no issues there. ","['mostly great review', 'rich flavour']"
tastes good and works well in my nespresso essenza mini.,,PLID48563870,10 September 2020,4,2020-09-10,tastes good and works we will in my nespresso essenza mini,,1,tastes good and works we will in my nespresso essenza mini ,[],tastes good and works well in my nespresso essenza mini. ,[]
great flavoured coffee !!,,PLID48563870,7 September 2020,5,2020-09-07,great flavoured coffee,,1,great flavoured coffee ,[],great flavoured coffee !! ,[]
awesome coffee and works well with my machine,,PLID48563870,6 September 2020,5,2020-09-06,awesome coffee and works we will with my machine,,1,awesome coffee and works we will with my machine ,['taste'],awesome coffee and works well with my machine ,['awesome coffee']
"legendary bootlegger flavour and richness! i was initially concerned that the pods may get stuck in my nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. highly recommended, and taste as good or better than some of the best nespresso blends!",,PLID48563870,2 September 2020,5,2020-09-02,legendary bootlegger flavour and richness was initially concerned that the pods may get stuck in my nespresso machine like so many cheap plastic pods do but they re great quality and work very we will highly recommended and taste as good or better than some of the best nespresso blends,,1,legendary bootlegger flavour and richness was initially concerned that the pods may get stuck in my nespresso machine like so many cheap plastic pods do but they re great quality and work very we will highly recommended and taste as good or better than some of the best nespresso blends ,['taste'],"legendary bootlegger flavour and richness! i was initially concerned that the pods may get stuck in my nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. highly recommended, and taste as good or better than some of the best nespresso blends! ","['great quality', 'legendary bootlegger flavour', 'good nespresso blend']"
really delicious local brand.,,PLID48563870,24 August 2020,5,2020-08-24,really delicious local brand,,1,really delicious local brand ,[],really delicious local brand. ,[]
delicious,,PLID48563870,24 August 2020,5,2020-08-24,delicious,,1,delicious ,[],delicious ,[]
great coffee,,PLID48563870,23 August 2020,4,2020-08-23,great coffee,,1,great coffee ,[],great coffee ,['great coffee']
like the taste,,PLID48563870,12 August 2020,5,2020-08-12,like the taste,,1,like the taste ,[],like the taste ,[]
great coffee. good value. works perfectly in nespresso machine.,,PLID48563870,11 August 2020,4,2020-08-11,great coffee good value works perfectly in nespresso machine,,1,great coffee good value works perfectly in nespresso machine ,['taste'],great coffee. good value. works perfectly in nespresso machine. ,"['great coffee', 'good value']"
"delicious coffee, and value for money .",,PLID48563870,9 August 2020,5,2020-08-09,delicious coffee and value for money,,1,delicious coffee and value for money ,[],"delicious coffee, and value for money . ",['delicious coffee']
great bootleggers taste and also proudly south african,,PLID48563870,20 July 2020,4,2020-07-20,great bootleggers taste and also proudly south african,,1,great bootleggers taste and also proudly south african ,[],great bootleggers taste and also proudly south african ,['great bootlegger']
absolutely divine! yum! and really nice packaging. my husband said that the pods look too nice to use.,,PLID48563870,19 July 2020,5,2020-07-19,absolutely divine yum and really nice packaging my husband said that the pods look too nice to use,,1,absolutely divine yum and really nice packaging my husband said that the pods look too nice to use ,[],absolutely divine! yum! and really nice packaging. my husband said that the pods look too nice to use. ,[]
my favourite capsule. the most well balanced capsule i have ever tried and i bought almost all the nespresso branded capsules. genuinely love it.,,PLID48563870,16 July 2020,5,2020-07-16,my favourite capsule the most we will balanced capsule have ever tried and bought almost all the nespresso branded capsules genuinely love it,,1,my favourite capsule the most we will balanced capsule have ever tried and bought almost all the nespresso branded capsules genuinely love it ,['delivery'],my favourite capsule. the most well balanced capsule i have ever tried and i bought almost all the nespresso branded capsules. genuinely love it. ,[]
good value for money,,PLID54544039,22 October 2020,4,2020-10-22,good value for money,,1,good value for money ,[],good value for money ,['good value']
good favour and price,,PLID54544039,20 October 2020,4,2020-10-20,good favour and price,,1,good favour and price ,[],good favour and price ,['good favour']
excellent value for money!,,PLID54544039,20 July 2020,5,2020-07-20,excellent value for money,,1,excellent value for money ,[],excellent value for money! ,['excellent value']
"for the price it is not bad, will not purchase it again. normal coffee tastes better than these. total waste of money",,PLID54544039,13 July 2020,2,2020-07-13,for the price it is not bad will not purchase it again normal coffee tastes better than these total waste of money,,1,for the price it is not bad will not purchase it again normal coffee tastes better than these total waste of money ,[],"for the price it is not bad, will not purchase it again. normal coffee tastes better than these. total waste of money ",['total waste']
i just love coffee. this is a great pack to give you a taste of the different strengths. you can start with the strongest first thing in the morning and then work your way through the colour during the day :),,PLID54544039,10 July 2020,5,2020-07-10,just love coffee this is great pack to give you taste of the different strengths you can start with the strongest first thing in the morning and then work your way through the colour during the day,,1,just love coffee this is great pack to give you taste of the different strengths you can start with the strongest first thing in the morning and then work your way through the colour during the day ,[],i just love coffee. this is a great pack to give you a taste of the different strengths. you can start with the strongest first thing in the morning and then work your way through the colour during the day :) ,"['great pack', 'strong first thing']"
very good variety of flavors,,PLID54544039,7 July 2020,5,2020-07-07,very good variety of flavors,,1,very good variety of flavors ,[],very good variety of flavors ,['very good variety']
tastes great,,PLID54544039,2 July 2020,4,2020-07-02,tastes great,,1,tastes great ,[],tastes great ,[]
these capsules have a wonderful variety in flavour and they are taste good!,,PLID54544039,23 June 2020,5,2020-06-23,these capsules have wonderful variety in flavour and they are taste good,,1,these capsules have wonderful variety in flavour and they are taste good ,[],these capsules have a wonderful variety in flavour and they are taste good! ,['wonderful variety']
excellent product. great value for money and all flavors are delicious. strongly recommend.,,PLID54544039,17 June 2020,5,2020-06-17,excellent product great value for money and all flavors are delicious strongly recommend,,1,excellent product great value for money and all flavors are delicious strongly recommend ,[],excellent product. great value for money and all flavors are delicious. strongly recommend. ,"['excellent product', 'great value']"
