review_body,review_title,asin,pp_date,review_rating,review_date,product_name,retailer,text_clean,title_clean
coffee flavors really good and at a good price,,PLID58243680,10/12/2020,4,2020-11-21,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,coffee flavors really good and at good price,
the coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as i like medium roast coffee and my husband likes dark roast coffee. the pods do tend to get stuck in the nespresso sometimes. but i can handle that defect since the price is way cheaper to using the original pods.,,PLID58243680,10/12/2020,4,2020-11-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,the coffee tastes great and love that there are strengths medium roast and dark roast as like medium roast coffee and my husband likes dark roast coffee the pods do tend to get stuck in the nespresso sometimes but can handle that defect since the price is way cheaper to using the original pods,
i love my morning coffee and having some variants to choose from just makes my day.,,PLID58243680,10/12/2020,5,2020-11-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,love my morning coffee and having some variants to choose from just makes my day,
great value for money,,PLID58243680,10/12/2020,4,2020-11-17,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great value for money,
they delicious,,PLID58243680,10/12/2020,5,2020-11-13,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,they delicious,
love my coffee ,,PLID58243680,10/12/2020,5,2020-11-11,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,love my coffee,
"medium roasts are really good (italian and ethiopian). dark roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though i generally prefer a dark roast",,PLID58243680,10/12/2020,3,2020-11-10,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,medium roasts are really good italian and ethiopian dark roasts are not so great nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though generally prefer dark roast,
"purchased a few times before, good taste and a great price. would recommend",,PLID58243680,10/12/2020,4,2020-11-03,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,purchased few times before good taste and great price would recommend,
"great variety, great taste, great price!!",,PLID58243680,10/12/2020,5,2020-11-02,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great variety great taste great price,
spills water all over the place. does not go through the pod,,PLID58243680,10/12/2020,1,2020-10-30,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,spills water all over the place does not go through the pod,
"excellent mix of coffee blends , very satisfying",,PLID58243680,10/12/2020,4,2020-10-28,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,excellent mix of coffee blends very satisfying,
"works well with nespresso machine. good flavor coffee, not too strong.",,PLID58243680,10/12/2020,4,2020-10-20,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,works we will with nespresso machine good flavor coffee not too strong,
good variety of coffees at a good price.,,PLID58243680,10/12/2020,5,2020-10-19,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,good variety of coffees at good price,
great value.,,PLID58243680,10/12/2020,5,2020-10-16,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great value,
what a bargain!,,PLID58243680,10/12/2020,5,2020-10-13,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,what bargain,
best coffee! been buying these capsules for years now and i have never been disappointed,,PLID48563870,10/12/2020,5,2020-10-29,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,best coffee been buying these capsules for years now and have never been disappointed,
one of my favourite non-nespresso pods! like the flavour - re-ordering this monthly.,,PLID48563870,10/12/2020,5,2020-10-26,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,one of my favourite nonnespresso pods like the flavour reordering this monthly,
"love these coffee pods, delicious taste",,PLID48563870,10/12/2020,5,2020-10-03,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,love these coffee pods delicious taste,
great coffee,,PLID48563870,10/12/2020,4,2020-10-01,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee,
"i am usually a fan of all bootlegger coffee company's products. however, when i reordered this capsule sleeve and used the same setting (lungo) on my nespresso machine, the coffee had a milder taste than before. still good though.",,PLID48563870,10/12/2020,4,2020-09-21,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,am usually fan of all bootlegger coffee companys products however when reordered this capsule sleeve and used the same setting lungo on my nespresso machine the coffee had milder taste than before still good though,
"tried this based on the mostly great reviews but i have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of nespresso blends. even the nespresso starbucks blend has more to offer. pods do work well in the machine though, so no issues there.",,PLID48563870,10/12/2020,2,2020-09-14,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,tried this based on the mostly great reviews but have to agree with another previous comment regarding the blandness of this coffee nowhere near the rich flavour of nespresso blends even the nespresso starbucks blend has more to offer pods do work we will in the machine though so no issues there,
tastes good and works well in my nespresso essenza mini.,,PLID48563870,10/12/2020,4,2020-09-10,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,tastes good and works we will in my nespresso essenza mini,
great flavoured coffee !!,,PLID48563870,10/12/2020,5,2020-09-07,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great flavoured coffee,
awesome coffee and works well with my machine,,PLID48563870,10/12/2020,5,2020-09-06,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,awesome coffee and works we will with my machine,
"legendary bootlegger flavour and richness! i was initially concerned that the pods may get stuck in my nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. highly recommended, and taste as good or better than some of the best nespresso blends!",,PLID48563870,10/12/2020,5,2020-09-02,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,legendary bootlegger flavour and richness was initially concerned that the pods may get stuck in my nespresso machinelike so many cheap plastic pods do but they are great quality and work very we will highly recommended and taste as good or better than some of the best nespresso blends,
really delicious local brand.,,PLID48563870,10/12/2020,5,2020-08-24,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,really delicious local brand,
delicious,,PLID48563870,10/12/2020,5,2020-08-24,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,delicious,
great coffee,,PLID48563870,10/12/2020,4,2020-08-23,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee,
like the taste,,PLID48563870,10/12/2020,5,2020-08-12,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,like the taste,
great coffee. good value. works perfectly in nespresso machine.,,PLID48563870,10/12/2020,4,2020-08-11,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee good value works perfectly in nespresso machine,
"delicious coffee, and value for money .",,PLID48563870,10/12/2020,5,2020-08-09,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,delicious coffee and value for money,
great bootleggers taste and also proudly south african,,PLID48563870,10/12/2020,4,2020-07-20,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great bootleggers taste and also proudly south african,
good value for money - great for every day nespresso.,,PLID50084565,10/12/2020,4,2020-12-04,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for money great for every day nespresso,
you get what you pay for. this coffee has no body and is too watery.,,PLID50084565,10/12/2020,2,2020-12-01,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,you get what you pay for this coffee has no body and is too watery,
no complain!!,,PLID50084565,10/12/2020,4,2020-11-18,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,no complain,
bought this based on the other reviews and these did not disappoint. i've tried other alternative capsules and this is by far the best in terms of taste/strength vs value.,,PLID50084565,10/12/2020,5,2020-11-12,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,bought this based on the other reviews and these did not disappoint have tried other alternative capsules and this is by far the best in terms of tastestrength vs value,
"excellent coffee, work very well on nespresso machine.",,PLID50084565,10/12/2020,5,2020-10-27,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,excellent coffee work very we will on nespresso machine,
very good,,PLID50084565,10/12/2020,4,2020-10-22,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,very good,
am enjoying this coffee will definitely recommend it,,PLID50084565,10/12/2020,5,2020-10-15,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,am enjoying this coffee will definitely recommend it,
good value for money,,PLID50084565,10/12/2020,5,2020-10-14,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for money,
nice coffee. works greate in my nespresso machine.,,PLID50084565,10/12/2020,4,2020-09-30,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,nice coffee works greate in my nespresso machine,
"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples",,PLID50084565,10/12/2020,5,2020-09-25,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,it was my first purchase and the coffee is perfect wish had options on buying the other flavors or samples,
definitely a good buy. love the coffee taste not too strong,,PLID50084565,10/12/2020,5,2020-09-19,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,definitely good buy love the coffee taste not too strong,
excellent value for money. works perfectly with nespresso machines,,PLID50084565,10/12/2020,5,2020-09-17,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,excellent value for money works perfectly with nespresso machines,
this is a great buy- great price and great coffee.,,PLID50084565,10/12/2020,5,2020-09-15,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,this is great buy great price and great coffee,
great value for money and very enjoyable,,PLID50084565,10/12/2020,5,2020-09-11,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,great value for money and very enjoyable,
these are lovely and certainly value for money,,PLID50084565,10/12/2020,5,2020-09-09,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,these are lovely and certainly value for money,
"good quality. previous review advising some capsules damaged incorrect, this applies to the origins mixed speciality pack",,PLID50084565,10/12/2020,5,2020-09-07,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good quality previous review advising some capsules damaged incorrect this applies to the origins mixed speciality pack,
"good value for the price
",,PLID50084565,10/12/2020,4,2020-09-03,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for the price,
great value for money. large variety.,,PLID50084565,10/12/2020,4,2020-08-29,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,great value for money large variety,
product is great and well priced. delivery took longer than i had wanted.,,PLID54489195,10/12/2020,5,2020-03-03,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,product is great and we will priced delivery took longer than had wanted,
great product nescafe compattible and great quality and taste,,PLID54489195,10/12/2020,5,2020-02-25,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great product nescafe compattible and great quality and taste,
these coffecups works perfectly well with my nespresso machine. the taste of the selection of 5 different flavours and strength is excellent. these cups are great for real coffee lovers. the price is unbeatable. these cups will always be part of my kichen.,,PLID54489195,10/12/2020,5,2020-02-24,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,these coffecups works perfectly we will with my nespresso machine the taste of the selection of different flavours and strength is excellent these cups are great for real coffee lovers the price is unbeatable these cups will always be part of my kichen,
good the price.,,PLID54489195,10/12/2020,4,2020-02-10,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good the price,
great price for good coffee,,PLID54489195,10/12/2020,4,2020-02-08,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great price for good coffee,
great value for money,,PLID54489195,10/12/2020,4,2020-02-07,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great value for money,
good coffee. just ordered second batch.,,PLID54489195,10/12/2020,4,2020-01-29,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good coffee just ordered second batch,
good coffe. pity the capsules are not made of aluminium.,,PLID54489195,10/12/2020,4,2020-01-26,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,good coffe pity the capsules are not made of aluminium,
great coffee,,PLID54489195,10/12/2020,5,2020-01-21,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great coffee,
delicious and great value for money.,,PLID54489195,10/12/2020,5,2020-01-20,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,delicious and great value for money,
best value for money coffee pods,,PLID54489195,10/12/2020,4,2020-01-15,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,best value for money coffee pods,
best ever flavors are amazing and so good quality when my is done will buy this again,,PLID54489195,10/12/2020,5,2019-12-22,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,best ever flavors are amazing and so good quality when my is done will buy this again,
delicious,,PLID54489195,10/12/2020,5,2019-11-27,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,delicious,
product supplied exactly as advertised. nice variety to try out or for a group with different preferences.,,PLID54489195,10/12/2020,5,2019-11-06,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,product supplied exactly as advertised nice variety to try out or for group with different preferences,
great coffee and great price,,PLID54489195,10/12/2020,5,2019-10-26,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,great coffee and great price,
"so i received my box of 5 caffelux espresso capsules today only to find that the expiry date on 3 of the boxes are unreadable and smudged 
this could be long expired ????",,PLID54489195,10/12/2020,1,2019-10-22,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,so received my box of caffelux espresso capsules today only to find that the expiry date on of the boxes are unreadable and smudged this could be long expired,
great product. now can use nespresso products on my dulce gusto. options are now even more,,PLID47901925,10/12/2020,5,2020-11-30,Espresto - Dolce Gusto Adapter Starter Pack,takealot,great product now can use nespresso products on my dulce gusto options are now even more,
works great. good value for money with the extra coffee pods included.,,PLID47901925,10/12/2020,5,2020-11-30,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works great good value for money with the extra coffee pods included,
good product. tight fit of the adapter with the pod but works well.,,PLID47901925,10/12/2020,4,2020-11-27,Espresto - Dolce Gusto Adapter Starter Pack,takealot,good product tight fit of the adapter with the pod but works we will,
"this is does not work with nespresso capsules! it fits fine in the machine, but the coffee is not great.",,PLID47901925,10/12/2020,2,2020-11-18,Espresto - Dolce Gusto Adapter Starter Pack,takealot,this is does not work with nespresso capsules it fits fine in the machine but the coffee is not great,
the adaptor works as said . thanks for a nice product.,,PLID47901925,10/12/2020,5,2020-11-12,Espresto - Dolce Gusto Adapter Starter Pack,takealot,the adaptor works as said thanks for nice product,
great fit for the dolce gusto coffee machine. nice to have another option for coffee than just the dolce gusto coffee pods.,,PLID47901925,10/12/2020,4,2020-11-11,Espresto - Dolce Gusto Adapter Starter Pack,takealot,great fit for the dolce gusto coffee machine nice to have another option for coffee than just the dolce gusto coffee pods,
"does not seal properly to maintain correct water pressure.
totally over-priced ",,PLID47901925,10/12/2020,2,2020-11-10,Espresto - Dolce Gusto Adapter Starter Pack,takealot,does not seal properly to maintain correct water pressure totally overpriced,
works great for gusto,,PLID47901925,10/12/2020,5,2020-11-03,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works great for gusto,
"this product is one of the best things i ever orderd for myself.
",,PLID47901925,10/12/2020,5,2020-10-21,Espresto - Dolce Gusto Adapter Starter Pack,takealot,this product is one of the best things ever orderd for myself,
works perfectly fine  and great flavours,,PLID47901925,10/12/2020,5,2020-10-19,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works perfectly fine and great flavours,
great. love to use it.,,PLID47901925,10/12/2020,5,2020-10-13,Espresto - Dolce Gusto Adapter Starter Pack,takealot,great love to use it,
"fits perfectly in my dolce gusto machine. very happy
",,PLID47901925,10/12/2020,5,2020-10-12,Espresto - Dolce Gusto Adapter Starter Pack,takealot,fits perfectly in my dolce gusto machine very happy,
perfect match for the dolce gusto to expand your range of coffee flavours and reduce cost. love it.,,PLID47901925,10/12/2020,5,2020-10-09,Espresto - Dolce Gusto Adapter Starter Pack,takealot,perfect match for the dolce gusto to expand your range of coffee flavours and reduce cost love it,
works as intended. ,,PLID47901925,10/12/2020,5,2020-10-01,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works as intended,
perfect quality! exactly fits the description i required ,,PLID47901925,10/12/2020,5,2020-09-28,Espresto - Dolce Gusto Adapter Starter Pack,takealot,perfect quality exactly fits the description required,
the product works well and the extra coffee capsules were a treat!,,PLID47901925,10/12/2020,5,2020-09-23,Espresto - Dolce Gusto Adapter Starter Pack,takealot,the product works we will and the extra coffee capsules we are treat,
didn't like the taste at all. some capsules arrived broken and some were underfilled. wouldn't buy again.,,PLID58243680,10/12/2020,1,2020-09-30,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,did not like the taste at all some capsules arrived broken and some we are underfilled would not buy again,
i cannot wait when i get up in the morning to taste my first cup of coffee from a caffeluxe coffee capsule: it super delicious and refreshing! there is absolutely no need to look elsewhere for coffee!,,PLID58243680,10/12/2020,4,2020-09-25,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,cannot wait when get up in the morning to taste my first cup of coffee from caffeluxe coffee capsule it super delicious and refreshing there is absolutely no need to look elsewhere for coffee,
"the picture doesn't look at all what the actual product looked like.  very watered down and weak.  it's called a speciality pack in the description, but the actual product says ""mixed value pack"". i wouldn't purchase this product ever again.",,PLID58243680,10/12/2020,1,2020-09-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,the picture does not look at all what the actual product looked like very watered down and weak it is called speciality pack in the description but the actual product says mixed value pack would not purchase this product ever again,
does not work in my espresto coffee machine!,,PLID58243680,10/12/2020,1,2020-08-04,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,does not work in my espresto coffee machine,
nice coffee and a good bank for buck alternative.,,PLID58243680,10/12/2020,5,2020-07-12,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,nice coffee and good bank for buck alternative,
"watered down, waste of time and money for a coffee lover",,PLID58243680,10/12/2020,2,2020-07-02,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,watered down waste of time and money for coffee lover,
great tasting! great value!,,PLID58243680,10/12/2020,5,2020-06-30,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great tasting great value,
a great product for a coffee lover. wonderful coffee flavors.,,PLID58243680,10/12/2020,4,2020-06-29,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great product for coffee lover wonderful coffee flavors,
disappointing - very weak coffee compared nespresso original. this is confusing as it says nespresso but then the packaging says origins. so i really have no idea what it is.,,PLID58243680,10/12/2020,4,2020-06-29,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,disappointing very weak coffee compared nespresso original this is confusing as it says nespresso but then the packaging says origins so really have no idea what it is,
hi very very nice the blue capsules solid and sticky. have to bang it first before inserting in machine,,PLID58243680,10/12/2020,2,2020-06-27,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,hi very very nice the blue capsules solid and sticky have to bang it first before inserting in machine,
does not always work in nespresso machine. average flavor.,,PLID58243680,10/12/2020,3,2020-06-25,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,does not always work in nespresso machine average flavor,
i find all of the flavours in this pack week in flavour. great value.,,PLID58243680,10/12/2020,3,2020-06-24,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,find all of the flavours in this pack week in flavour great value,
great product. no pods were damaged. coffee is strong enough +-8 intensity. will by it again for sure! drink at least three a day. great value for money! and there was in fact a 100 pods in the bag.,,PLID58243680,10/12/2020,5,2020-06-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great product no pods we are damaged coffee is strong enough intensity will by it again for sure drink at least three day great value for money and there was in fact pods in the bag,
great price and delivery,,PLID58243680,10/12/2020,5,2020-06-15,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great price and delivery,
"coffee quality is quite good, and works well with the nespresso machines, but the flavours were not as advertised - i received 2 different types of african blends instead of only one, the french blend and then the brazilian pods, but no italian pods.",,PLID58243680,10/12/2020,3,2020-06-14,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,coffee quality is quite good and works we will with the nespresso machines but the flavours we are not as advertised received different types of african blends instead of only one the french blend and then the brazilian pods but no italian pods,
very delicious product and i would recommend it,,PLID58243680,10/12/2020,4,2020-06-13,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,very delicious product and would recommend it,
lots of choice and great tasting.,,PLID58243680,10/12/2020,4,2020-06-03,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,lots of choice and great tasting,
