content,country,crawl_date,date,enseigneID,enseigneName,productName,product_id,product_rating_average,product_rating_count,rating
"Good coffee, not a 100% fit but its about the nearest to perfect fit that you will find. Coffee actually tastes good. Does not always fall to the empty dispenser in my nespresso machine but push it down with a teaspoon and it falls throug with ease. This is by far the best alternative for nespresso machines",UK,10/12/2020,21 May 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great coffee roast flavours for an excellent price! Definitely buying it again.,UK,10/12/2020,16 May 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
VERY happy with this purchase. Tried a few different brands and this is by far the best! Just ordered the box with 220 capsules at a great price so I don't run out. Closest alternative to nespresso without the price tag. Haven't had any issues with the pods. Will definitely be ordering these on a monthly basis!,UK,10/12/2020,9 May 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
These are very good. Much like Nespresso. Half the price... ,UK,10/12/2020,29 March 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
"The coffee tastes delicious but the caps (pods) do not fall through properly and get stuck. Easy to push them through but it does get frustrating 
",UK,10/12/2020,29 March 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
"Brilliant purchase.  with a household of coffee fantastics, each had their own variety. True value for money. Thank you.",UK,10/12/2020,11 March 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Always good value for money.  ,UK,10/12/2020,3 December 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Excellent value for a refreshing and tasty product,UK,10/12/2020,25 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Great coffee at a great price. Keep the special going and we will keep ordering. Have told my friends and family about it and they are also ordering.,UK,10/12/2020,24 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Coffee flavors really good and at a good price,UK,10/12/2020,21 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
The coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as I like medium roast coffee and my husband likes dark roast coffee. The pods do tend to get stuck in the nespresso sometimes. But I can handle that defect since the price is way cheaper to using the original pods.,UK,10/12/2020,18 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
I love my morning coffee and having some variants to choose from just makes my day.,UK,10/12/2020,18 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Great value for money,UK,10/12/2020,17 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
They delicious,UK,10/12/2020,13 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Love my coffee ,UK,10/12/2020,11 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
"Medium roasts are really good (Italian and Ethiopian). Dark Roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though I generally prefer a dark roast",UK,10/12/2020,10 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,3.0/5
"Purchased a few times before, good taste and a great price. Would recommend",UK,10/12/2020,3 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
"Great variety, great taste, great price!!",UK,10/12/2020,2 November 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Spills water all over the place. Does not go through the pod,UK,10/12/2020,30 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,1.0/5
"excellent mix of coffee blends , very satisfying",UK,10/12/2020,28 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
"Works well with Nespresso machine. Good flavor coffee, not too strong.",UK,10/12/2020,20 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Good variety of coffees at a good price.,UK,10/12/2020,19 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Great value.,UK,10/12/2020,16 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
What a bargain!,UK,10/12/2020,13 October 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Best coffee! Been buying these capsules for years now and I have never been disappointed,UK,10/12/2020,29 October 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
One of my favourite non-Nespresso pods! Like the flavour - re-ordering this monthly.,UK,10/12/2020,26 October 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
"Love these coffee pods, delicious taste",UK,10/12/2020,3 October 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Great Coffee,UK,10/12/2020,1 October 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
"I am usually a fan of all Bootlegger Coffee Company's products. However, when I reordered this capsule sleeve and used the same setting (lungo) on my Nespresso machine, the coffee had a milder taste than before. Still good though.",UK,10/12/2020,21 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
"Tried this based on the mostly great reviews but I have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of Nespresso blends. Even the Nespresso Starbucks blend has more to offer. Pods do work well in the machine though, so no issues there.",UK,10/12/2020,14 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,2.0/5
Tastes good and works well in my Nespresso Essenza Mini.,UK,10/12/2020,10 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
Great flavoured coffee !!,UK,10/12/2020,7 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Awesome coffee and works well with my machine,UK,10/12/2020,6 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
"Legendary Bootlegger flavour and richness! I was initially concerned that the pods may get stuck in my Nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. Highly recommended, and taste as good or better than some of the best Nespresso blends!",UK,10/12/2020,2 September 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Really delicious local brand.,UK,10/12/2020,24 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Delicious,UK,10/12/2020,24 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Great coffee,UK,10/12/2020,23 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
Like the taste,UK,10/12/2020,12 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Great coffee. Good value. Works perfectly in Nespresso machine.,UK,10/12/2020,11 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
"Delicious coffee, and value for money .",UK,10/12/2020,9 August 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
Great bootleggers taste and also proudly South African,UK,10/12/2020,20 July 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
Good value for money - great for every day Nespresso.,UK,10/12/2020,4 December 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
You get what you pay for. This coffee has no body and is too watery.,UK,10/12/2020,1 December 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,2.0/5
NO COMPLAIN!!,UK,10/12/2020,18 November 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
Bought this based on the other reviews and these did not disappoint. I've tried other alternative capsules and this is by far the best in terms of taste/strength vs value.,UK,10/12/2020,12 November 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
"Excellent coffee, work very well on Nespresso machine.",UK,10/12/2020,27 October 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
very good,UK,10/12/2020,22 October 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
Am enjoying this coffee will definitely recommend it,UK,10/12/2020,15 October 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
Good value for money,UK,10/12/2020,14 October 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
Nice coffee. Works greate in my nespresso machine.,UK,10/12/2020,30 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples",UK,10/12/2020,25 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
Definitely a good buy. Love the coffee taste not too strong,UK,10/12/2020,19 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
Excellent value for money. Works perfectly with nespresso machines,UK,10/12/2020,17 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
This is a great buy- great price and great coffee.,UK,10/12/2020,15 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
Great value for money and very enjoyable,UK,10/12/2020,11 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
These are lovely and certainly value for money,UK,10/12/2020,9 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
"Good quality. Previous review advising some capsules damaged incorrect, this applies to the Origins Mixed Speciality pack",UK,10/12/2020,7 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,5.0/5
"Good value for the price
",UK,10/12/2020,3 September 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
Great value for money. Large variety.,UK,10/12/2020,29 August 2020,1,takealot,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,PLID50084565,4.5/5,62,4.0/5
Product is great and well priced. Delivery took longer than I had wanted.,UK,10/12/2020,3 March 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Great product Nescafe compattible And great quality and taste,UK,10/12/2020,25 February 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
These coffecups works perfectly well with my Nespresso machine. The taste of the selection of 5 different flavours and strength is excellent. These cups are great for real coffee lovers. The price is unbeatable. These cups will always be part of my kichen.,UK,10/12/2020,24 February 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Good the price.,UK,10/12/2020,10 February 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great price for good coffee,UK,10/12/2020,8 February 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great value for money,UK,10/12/2020,7 February 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Good coffee. Just ordered second batch.,UK,10/12/2020,29 January 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Good coffe. Pity the capsules are not made of aluminium.,UK,10/12/2020,26 January 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Great Coffee,UK,10/12/2020,21 January 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
delicious and great value for money.,UK,10/12/2020,20 January 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
best value for money coffee pods,UK,10/12/2020,15 January 2020,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,4.0/5
Best ever flavors are amazing and so good quality when my is done will buy this again,UK,10/12/2020,22 December 2019,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
DeliciouS,UK,10/12/2020,27 November 2019,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
Product supplied exactly as advertised. Nice variety to try out or for a group with different preferences.,UK,10/12/2020,6 November 2019,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
GREAT COFFEE AND GREAT PRICE,UK,10/12/2020,26 October 2019,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,5.0/5
"So I received my box of 5 Caffelux espresso capsules today only to find that the expiry date on 3 of the boxes are unreadable and smudged 
This could be LONG expired ????",UK,10/12/2020,22 October 2019,1,takealot,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,PLID54489195,4.5/5,49,1.0/5
Great product. Now can use Nespresso products on my Dulce Gusto. Options are now even more,UK,10/12/2020,30 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Works great. Good value for money with the extra coffee pods included.,UK,10/12/2020,30 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Good Product. Tight fit of the adapter with the pod but works well.,UK,10/12/2020,27 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,4.0/5
"This is does NOT work with nespresso capsules! It fits fine in the machine, but the coffee is not great.",UK,10/12/2020,18 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,2.0/5
the adaptor works as said . Thanks for a nice product.,UK,10/12/2020,12 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Great fit for the Dolce Gusto coffee machine. Nice to have another option for coffee than just the Dolce Gusto coffee pods.,UK,10/12/2020,11 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,4.0/5
"Does not seal properly to maintain correct water pressure.
Totally over-priced ",UK,10/12/2020,10 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,2.0/5
Works great for Gusto,UK,10/12/2020,3 November 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
"This product is one of the best things i ever orderd for myself.
",UK,10/12/2020,21 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Works perfectly fine  and great flavours,UK,10/12/2020,19 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Great. Love to use it.,UK,10/12/2020,13 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
"Fits perfectly in my Dolce Gusto machine. Very happy
",UK,10/12/2020,12 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Perfect match for the Dolce Gusto to expand your range of coffee flavours and reduce cost. Love it.,UK,10/12/2020,9 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Works as intended. ,UK,10/12/2020,1 October 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Perfect Quality! Exactly fits the description I required ,UK,10/12/2020,28 September 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
The product works well and the extra coffee capsules were a treat!,UK,10/12/2020,23 September 2020,1,takealot,Espresto - Dolce Gusto Adapter Starter Pack,PLID47901925,4.4/5,87,5.0/5
Didn't like the taste at all. Some capsules arrived broken and some were underfilled. Wouldn't buy again.,UK,10/12/2020,30 September 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,1.0/5
I cannot wait when I get up in the morning to taste my first cup of coffee from a Caffeluxe Coffee Capsule: it super delicious and refreshing! There is absolutely no need to look elsewhere for coffee!,UK,10/12/2020,25 September 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
"The picture doesn't look at all what the actual product looked like.  Very watered down and weak.  It's called a speciality pack in the description, but the actual product says ""Mixed Value Pack"". I wouldn't purchase this product ever again.",UK,10/12/2020,18 September 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,1.0/5
Does not work in my Espresto coffee machine!,UK,10/12/2020,4 August 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,1.0/5
Nice coffee and a good bank for buck alternative.,UK,10/12/2020,12 July 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
"Watered down, waste of time and money for a coffee lover",UK,10/12/2020,2 July 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,2.0/5
Great tasting! Great value!,UK,10/12/2020,30 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
A great product for a coffee lover. Wonderful coffee flavors.,UK,10/12/2020,29 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Disappointing - very weak coffee compared Nespresso original. This is confusing as it says Nespresso but then the packaging says Origins. So I really have no idea what it is.,UK,10/12/2020,29 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Hi Very very nice The blue capsules solid and sticky. Have to bang it first before inserting in machine,UK,10/12/2020,27 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,2.0/5
Does not always work in Nespresso machine. Average flavor.,UK,10/12/2020,25 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,3.0/5
I find all of the flavours in this pack week in flavour. great value.,UK,10/12/2020,24 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,3.0/5
Great product. no pods were damaged. Coffee is strong enough +-8 intensity. Will by it again for sure! Drink at least three a day. Great value for money! And there was in fact a 100 pods in the bag.,UK,10/12/2020,18 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Great price and delivery,UK,10/12/2020,15 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
"Coffee quality is quite good, and works well with the Nespresso machines, but the flavours were not as advertised - I received 2 different types of African blends instead of only one, the French blend and then the Brazilian pods, but no Italian pods.",UK,10/12/2020,14 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,3.0/5
Very delicious product and i would recommend it,UK,10/12/2020,13 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Lots of choice and great tasting.,UK,10/12/2020,3 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,4.0/5
Delicious! Useful to have different strengths to suit different tastes,UK,10/12/2020,2 June 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
These taste really good and fit the machine 100%. ,UK,10/12/2020,26 May 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Good value for money,UK,10/12/2020,17 May 2020,1,takealot,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,PLID58243680,4.0/5,56,5.0/5
Absolutely divine! Yum! And really nice packaging. My husband said that the pods look too nice to use.,UK,10/12/2020,19 July 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
My favourite capsule. The most well balanced capsule I have ever tried and I bought almost all the Nespresso branded capsules. Genuinely love it.,UK,10/12/2020,16 July 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,5.0/5
"Not as good as the original, but a good substitute!",UK,10/12/2020,30 June 2020,1,takealot,Bootlegger Coffee Capsule Sleeve - 10 Capsules,PLID48563870,4.5/5,40,4.0/5
