review_body,review_title,asin,pp_date,review_rating,review_date,product_name,retailer,text_clean,title_clean,review,opinion,ml_score,text,ml_topic
the coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as i like medium roast coffee and my husband likes dark roast coffee. the pods do tend to get stuck in the nespresso sometimes. but i can handle that defect since the price is way cheaper to using the original pods.,,PLID58243680,10/12/2020,4,2020-11-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,the coffee tastes great and love that there are strengths medium roast and dark roast as like medium roast coffee and my husband likes dark roast coffee the pods do tend to get stuck in the nespresso sometimes but can handle that defect since the price is way cheaper to using the original pods,,the coffee tastes great and love that there are 2 strengths (2x medium roast and 2x dark roast) as i like medium roast coffee and my husband likes dark roast coffee. the pods do tend to get stuck in the nespresso sometimes. but i can handle that defect since the price is way cheaper to using the original pods. ,['dark roast coffee'],1,the coffee tastes great and love that there are strengths medium roast and dark roast as like medium roast coffee and my husband likes dark roast coffee the pods do tend to get stuck in the nespresso sometimes but can handle that defect since the price is way cheaper to using the original pods ,"['delivery', 'price', 'taste']"
i love my morning coffee and having some variants to choose from just makes my day.,,PLID58243680,10/12/2020,5,2020-11-18,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,love my morning coffee and having some variants to choose from just makes my day,,i love my morning coffee and having some variants to choose from just makes my day. ,[],1,love my morning coffee and having some variants to choose from just makes my day ,[]
great value for money,,PLID58243680,10/12/2020,4,2020-11-17,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great value for money,,great value for money ,['great value'],1,great value for money ,['price']
they delicious,,PLID58243680,10/12/2020,5,2020-11-13,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,they delicious,,they delicious ,[],1,they delicious ,['taste']
love my coffee ,,PLID58243680,10/12/2020,5,2020-11-11,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,love my coffee,,love my coffee  ,[],1,love my coffee ,[]
"medium roasts are really good (italian and ethiopian). dark roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though i generally prefer a dark roast",,PLID58243680,10/12/2020,3,2020-11-10,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,medium roasts are really good italian and ethiopian dark roasts are not so great nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though generally prefer dark roast,,"medium roasts are really good (italian and ethiopian). dark roasts are not so great , nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though i generally prefer a dark roast ",['dark roast'],1,medium roasts are really good italian and ethiopian dark roasts are not so great nice to try for variety but would suggest getting the medium roasts as they are significantly better than the dark even though generally prefer dark roast ,[]
"purchased a few times before, good taste and a great price. would recommend",,PLID58243680,10/12/2020,4,2020-11-03,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,purchased few times before good taste and great price would recommend,,"purchased a few times before, good taste and a great price. would recommend ","['great price', 'good taste']",1,purchased few times before good taste and great price would recommend ,"['delivery', 'price', 'taste']"
"great variety, great taste, great price!!",,PLID58243680,10/12/2020,5,2020-11-02,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great variety great taste great price,,"great variety, great taste, great price!! ","['great variety', 'great taste', 'great price']",1,great variety great taste great price ,"['price', 'taste']"
spills water all over the place. does not go through the pod,,PLID58243680,10/12/2020,1,2020-10-30,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,spills water all over the place does not go through the pod,,spills water all over the place. does not go through the pod ,[],-1,spills water all over the place does not go through the pod ,[]
"excellent mix of coffee blends , very satisfying",,PLID58243680,10/12/2020,4,2020-10-28,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,excellent mix of coffee blends very satisfying,,"excellent mix of coffee blends , very satisfying ",['excellent mix'],1,excellent mix of coffee blends very satisfying ,[]
"works well with nespresso machine. good flavor coffee, not too strong.",,PLID58243680,10/12/2020,4,2020-10-20,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,works we will with nespresso machine good flavor coffee not too strong,,"works well with nespresso machine. good flavor coffee, not too strong. ",['good flavor coffee'],1,works we will with nespresso machine good flavor coffee not too strong ,['taste']
good variety of coffees at a good price.,,PLID58243680,10/12/2020,5,2020-10-19,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,good variety of coffees at good price,,good variety of coffees at a good price. ,"['good price', 'good variety']",1,good variety of coffees at good price ,['price']
great value.,,PLID58243680,10/12/2020,5,2020-10-16,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,great value,,great value. ,['great value'],1,great value ,['price']
what a bargain!,,PLID58243680,10/12/2020,5,2020-10-13,Nespresso Caffeluxe Coffee Capsules -  Origins Mixed Speciality pack 100,takealot,what bargain,,what a bargain! ,[],1,what bargain ,[]
best coffee! been buying these capsules for years now and i have never been disappointed,,PLID48563870,10/12/2020,5,2020-10-29,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,best coffee been buying these capsules for years now and have never been disappointed,,best coffee! been buying these capsules for years now and i have never been disappointed ,['good coffee'],1,best coffee been buying these capsules for years now and have never been disappointed ,[]
one of my favourite non-nespresso pods! like the flavour - re-ordering this monthly.,,PLID48563870,10/12/2020,5,2020-10-26,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,one of my favourite nonnespresso pods like the flavour reordering this monthly,,one of my favourite non-nespresso pods! like the flavour - re-ordering this monthly. ,[],1,one of my favourite nonnespresso pods like the flavour reordering this monthly ,"['delivery', 'taste']"
"love these coffee pods, delicious taste",,PLID48563870,10/12/2020,5,2020-10-03,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,love these coffee pods delicious taste,,"love these coffee pods, delicious taste ",[],1,love these coffee pods delicious taste ,['taste']
great coffee,,PLID48563870,10/12/2020,4,2020-10-01,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee,,great coffee ,['great coffee'],1,great coffee ,[]
"i am usually a fan of all bootlegger coffee company's products. however, when i reordered this capsule sleeve and used the same setting (lungo) on my nespresso machine, the coffee had a milder taste than before. still good though.",,PLID48563870,10/12/2020,4,2020-09-21,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,am usually fan of all bootlegger coffee companys products however when reordered this capsule sleeve and used the same setting lungo on my nespresso machine the coffee had milder taste than before still good though,,"i am usually a fan of all bootlegger coffee company's products. however, when i reordered this capsule sleeve and used the same setting (lungo) on my nespresso machine, the coffee had a milder taste than before. still good though. ",[],1,am usually fan of all bootlegger coffee companys products however when reordered this capsule sleeve and used the same setting lungo on my nespresso machine the coffee had milder taste than before still good though ,"['delivery', 'taste']"
"tried this based on the mostly great reviews but i have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of nespresso blends. even the nespresso starbucks blend has more to offer. pods do work well in the machine though, so no issues there.",,PLID48563870,10/12/2020,2,2020-09-14,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,tried this based on the mostly great reviews but have to agree with another previous comment regarding the blandness of this coffee nowhere near the rich flavour of nespresso blends even the nespresso starbucks blend has more to offer pods do work we will in the machine though so no issues there,,"tried this based on the mostly great reviews but i have to agree with another previous comment regarding the blandness of this coffee, nowhere near the rich flavour of nespresso blends. even the nespresso starbucks blend has more to offer. pods do work well in the machine though, so no issues there. ","['mostly great review', 'rich flavour']",-1,tried this based on the mostly great reviews but have to agree with another previous comment regarding the blandness of this coffee nowhere near the rich flavour of nespresso blends even the nespresso starbucks blend has more to offer pods do work we will in the machine though so no issues there ,['taste']
tastes good and works well in my nespresso essenza mini.,,PLID48563870,10/12/2020,4,2020-09-10,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,tastes good and works we will in my nespresso essenza mini,,tastes good and works well in my nespresso essenza mini. ,[],1,tastes good and works we will in my nespresso essenza mini ,['taste']
great flavoured coffee !!,,PLID48563870,10/12/2020,5,2020-09-07,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great flavoured coffee,,great flavoured coffee !! ,[],1,great flavoured coffee ,['taste']
awesome coffee and works well with my machine,,PLID48563870,10/12/2020,5,2020-09-06,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,awesome coffee and works we will with my machine,,awesome coffee and works well with my machine ,['awesome coffee'],1,awesome coffee and works we will with my machine ,[]
"legendary bootlegger flavour and richness! i was initially concerned that the pods may get stuck in my nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. highly recommended, and taste as good or better than some of the best nespresso blends!",,PLID48563870,10/12/2020,5,2020-09-02,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,legendary bootlegger flavour and richness was initially concerned that the pods may get stuck in my nespresso machinelike so many cheap plastic pods do but they are great quality and work very we will highly recommended and taste as good or better than some of the best nespresso blends,,"legendary bootlegger flavour and richness! i was initially concerned that the pods may get stuck in my nespresso machine(like so many cheap plastic pods do), but they're great quality and work very well. highly recommended, and taste as good or better than some of the best nespresso blends! ","['legendary bootlegger flavour', 'great quality', 'good nespresso blend']",1,legendary bootlegger flavour and richness was initially concerned that the pods may get stuck in my nespresso machinelike so many cheap plastic pods do but they are great quality and work very we will highly recommended and taste as good or better than some of the best nespresso blends ,"['packaging', 'price', 'taste']"
really delicious local brand.,,PLID48563870,10/12/2020,5,2020-08-24,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,really delicious local brand,,really delicious local brand. ,[],1,really delicious local brand ,['taste']
delicious,,PLID48563870,10/12/2020,5,2020-08-24,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,delicious,,delicious ,[],1,delicious ,['taste']
great coffee,,PLID48563870,10/12/2020,4,2020-08-23,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee,,great coffee ,['great coffee'],1,great coffee ,[]
like the taste,,PLID48563870,10/12/2020,5,2020-08-12,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,like the taste,,like the taste ,[],1,like the taste ,['taste']
great coffee. good value. works perfectly in nespresso machine.,,PLID48563870,10/12/2020,4,2020-08-11,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great coffee good value works perfectly in nespresso machine,,great coffee. good value. works perfectly in nespresso machine. ,"['good value', 'great coffee']",1,great coffee good value works perfectly in nespresso machine ,['price']
"delicious coffee, and value for money .",,PLID48563870,10/12/2020,5,2020-08-09,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,delicious coffee and value for money,,"delicious coffee, and value for money . ",['delicious coffee'],1,delicious coffee and value for money ,"['price', 'taste']"
great bootleggers taste and also proudly south african,,PLID48563870,10/12/2020,4,2020-07-20,Bootlegger Coffee Capsule Sleeve - 10 Capsules,takealot,great bootleggers taste and also proudly south african,,great bootleggers taste and also proudly south african ,['great bootlegger'],1,great bootleggers taste and also proudly south african ,['taste']
good value for money - great for every day nespresso.,,PLID50084565,10/12/2020,4,2020-12-04,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for money great for every day nespresso,,good value for money - great for every day nespresso. ,['good value'],1,good value for money great for every day nespresso ,['price']
you get what you pay for. this coffee has no body and is too watery.,,PLID50084565,10/12/2020,2,2020-12-01,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,you get what you pay for this coffee has no body and is too watery,,you get what you pay for. this coffee has no body and is too watery. ,[],-1,you get what you pay for this coffee has no body and is too watery ,['price']
no complain!!,,PLID50084565,10/12/2020,4,2020-11-18,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,no complain,,no complain!! ,[],1,no complain ,[]
bought this based on the other reviews and these did not disappoint. i've tried other alternative capsules and this is by far the best in terms of taste/strength vs value.,,PLID50084565,10/12/2020,5,2020-11-12,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,bought this based on the other reviews and these did not disappoint have tried other alternative capsules and this is by far the best in terms of tastestrength vs value,,bought this based on the other reviews and these did not disappoint. i've tried other alternative capsules and this is by far the best in terms of taste/strength vs value. ,[],1,bought this based on the other reviews and these did not disappoint have tried other alternative capsules and this is by far the best in terms of tastestrength vs value ,"['price', 'taste']"
"excellent coffee, work very well on nespresso machine.",,PLID50084565,10/12/2020,5,2020-10-27,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,excellent coffee work very we will on nespresso machine,,"excellent coffee, work very well on nespresso machine. ",['excellent coffee'],1,excellent coffee work very we will on nespresso machine ,[]
very good,,PLID50084565,10/12/2020,4,2020-10-22,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,very good,,very good ,[],1,very good ,[]
am enjoying this coffee will definitely recommend it,,PLID50084565,10/12/2020,5,2020-10-15,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,am enjoying this coffee will definitely recommend it,,am enjoying this coffee will definitely recommend it ,[],1,am enjoying this coffee will definitely recommend it ,[]
good value for money,,PLID50084565,10/12/2020,5,2020-10-14,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for money,,good value for money ,['good value'],1,good value for money ,['price']
nice coffee. works greate in my nespresso machine.,,PLID50084565,10/12/2020,4,2020-09-30,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,nice coffee works greate in my nespresso machine,,nice coffee. works greate in my nespresso machine. ,['nice coffee'],1,nice coffee works greate in my nespresso machine ,[]
"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples",,PLID50084565,10/12/2020,5,2020-09-25,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,it was my first purchase and the coffee is perfect wish had options on buying the other flavors or samples,,"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples ",[],1,it was my first purchase and the coffee is perfect wish had options on buying the other flavors or samples ,['taste']
definitely a good buy. love the coffee taste not too strong,,PLID50084565,10/12/2020,5,2020-09-19,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,definitely good buy love the coffee taste not too strong,,definitely a good buy. love the coffee taste not too strong ,['definitely good buy'],1,definitely good buy love the coffee taste not too strong ,['taste']
excellent value for money. works perfectly with nespresso machines,,PLID50084565,10/12/2020,5,2020-09-17,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,excellent value for money works perfectly with nespresso machines,,excellent value for money. works perfectly with nespresso machines ,['excellent value'],1,excellent value for money works perfectly with nespresso machines ,['price']
this is a great buy- great price and great coffee.,,PLID50084565,10/12/2020,5,2020-09-15,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,this is great buy great price and great coffee,,this is a great buy- great price and great coffee. ,['great coffee'],1,this is great buy great price and great coffee ,['price']
great value for money and very enjoyable,,PLID50084565,10/12/2020,5,2020-09-11,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,great value for money and very enjoyable,,great value for money and very enjoyable ,['great value'],1,great value for money and very enjoyable ,['price']
these are lovely and certainly value for money,,PLID50084565,10/12/2020,5,2020-09-09,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,these are lovely and certainly value for money,,these are lovely and certainly value for money ,[],1,these are lovely and certainly value for money ,['price']
"good quality. previous review advising some capsules damaged incorrect, this applies to the origins mixed speciality pack",,PLID50084565,10/12/2020,5,2020-09-07,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good quality previous review advising some capsules damaged incorrect this applies to the origins mixed speciality pack,,"good quality. previous review advising some capsules damaged incorrect, this applies to the origins mixed speciality pack ",['good quality'],1,good quality previous review advising some capsules damaged incorrect this applies to the origins mixed speciality pack ,['packaging']
"good value for the price
",,PLID50084565,10/12/2020,4,2020-09-03,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,good value for the price,,"good value for the price
 ",['good value'],1,good value for the price ,['price']
great value for money. large variety.,,PLID50084565,10/12/2020,4,2020-08-29,Italian Coffee Bulk Special Nespresso Compatible Coffee Capsules - 100,takealot,great value for money large variety,,great value for money. large variety. ,"['great value', 'large variety']",1,great value for money large variety ,['price']
product is great and well priced. delivery took longer than i had wanted.,,PLID54489195,10/12/2020,5,2020-03-03,Nespresso Caffeluxe Capsules Signature Bulk Coffee Selection 50,takealot,product is great and we will priced delivery took longer than had wanted,,product is great and well priced. delivery took longer than i had wanted. ,[],1,product is great and we will priced delivery took longer than had wanted ,"['delivery', 'price']"
